name,code,date
Slovakia,SVK,09/02/2021
Jamaica,JAM,11/02/2021
Australia,AUS,24/02/2021
France,FRA,13/03/2021
Ireland,IRL,13/03/2021
India,IND,22/01/2021
New Zealand,NZL,07/04/2021
Bahrain,BHR,09/04/2021
Morocco,MAR,22/04/2021
Mongolia,MNG,24/04/2021
Romania,ROU,26/04/2021
Iraq,IRQ,27/04/2021
Bangladesh,BGD,28/04/2021
Finland,FIN,05/05/2021
United Kingdom,GBR,16/05/2021
Seychelles,SYC,19/05/2021
Kenya,KEN,20/05/2021
China,CHN,23/05/2021
United States,USA,01/06/2021
Switzerland,CHE,02/06/2021
Puerto Rico,PRI,03/06/2021
Sierra Leone,SLE,03/06/2021
Germany,DEU,07/06/2021
Hong Kong,HKG,10/06/2021
South Africa,ZAF,11/06/2021
Russia,RUS,12/06/2021
Italy,ITA,15/06/2021
Liechtenstein,LIE,18/06/2021
Netherlands,NLD,20/06/2021
Malawi,MWI,21/06/2021
Thailand,THA,24/06/2021
Uzbekistan,UZB,25/06/2021
Mexico,MEX,29/06/2021
Nigeria,NGA,29/06/2021
Serbia,SRB,29/06/2021
Djibouti,DJI,30/06/2021
Pakistan,PAK,30/06/2021
Gabon,GAB,06/07/2021
Japan,JPN,06/07/2021
Paraguay,PRY,07/07/2021
Denmark,DNK,12/07/2021
Austria,AUT,13/07/2021
Brazil,BRA,19/07/2021
Taiwan,TWN,27/07/2021
Spain,ESP,29/07/2021
Northern Mariana Islands,MNP,30/07/2021
Egypt,EGY,04/08/2021
Mali,MLI,10/08/2021
Sweden,SWE,10/08/2021
Georgia,GEO,13/08/2021
Lesotho,LSO,18/08/2021
Palau,PLW,20/08/2021
American Samoa,ASM,16/09/2021
Chile,CHL,21/09/2021
Turkey,TUR,22/09/2021
Guam,GUM,29/09/2021
Dominican Republic,DOM,11/10/2021
Singapore,SGP,27/10/2021
Myanmar,MMR,03/11/2021
Colombia,COL,16/11/2021
Peru,PER,23/11/2021
Argentina,ARG,26/11/2021
Malaysia,MYS,28/11/2021
Portugal,PRT,29/11/2021
Norway,NOR,01/12/2021
Canada,CAN,28/12/2021
